연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장주소,기업형태,담당기관,등록일,연락처
2011,2023.10.27,2023-10-27~2023-12-31,주식회사 잉글우드랩코리아,건물 청소원(클린마스터),계약직,시급,9620,무관,무관,무관,,    ,인천광역시 남동구 남동대로425번길 18  (남촌동),중소,인천지사,2023.10.27,1588-1519
2012,2023.10.27,2023-10-27~2023-12-31,(주)다함께,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,인천광역시 남동구 아암대로 1223 성강지식산업센타 317호 (고잔동),중소,인천지사,2023.10.27,1588-1519
2013,2023.10.27,2023-10-27~2023-12-31,(주)천우굿프랜즈,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",계약직,시급,9620,무관,무관,무관,,    ,인천광역시 남동구 호구포로 50 엘아이지식산업센터 225호,중소,인천지사,2023.10.27,1588-1519
2014,2023.10.27,2023-10-27~2024-01-15,하늘종합관리(주),환경 미화원,계약직,시급,9860,무관,무관,무관,,    ,"인천광역시 남동구 백범로 67 502호 (만수동, 장수상가)",중소,인천지사,2023.10.27,1588-1519
2015,2023.10.27,2023-10-27~2023-12-29,주식회사 천해(전 요양엔갑부 울산점),기타 식품가공 종사원,상용직,시급,9620,무관,0년개월,무관,,    ,울산광역시 중구 성안14길 47 (성안동),중소,울산지사,2023.10.27,1588-1519
2016,2023.10.27,2023-10-27~2023-12-31,에이스병원,의료 보조원(간호조무사 제외),상용직,시급,9620,무관,무관,무관,,    ,경기도 남양주시 다산중앙로145번길 9 (다산동),개인,경기북부지사,2023.11.3,1588-1519
2017,2023.10.27,2023-10-27~2023-11-06,재단법인 파주시청소년재단,환경 미화원,계약직,시급,9620,무관,0년개월,무관,,    ,경기도 파주시 시민회관길 40 (금촌동),"공사,공공",경기북부지사,2023.11.3,1588-1519
2018,2023.10.27,2023-10-27~2023-11-06,재단법인 파주시청소년재단,환경·청소 관리자,계약직,시급,9620,무관,0년개월,무관,,    ,경기도 파주시 시민회관길 40 (금촌동),"공사,공공",경기북부지사,2023.11.3,1588-1519
2019,2023.10.27,2023-10-27~2023-11-06,재단법인 파주시청소년재단,데스크 안내원,계약직,시급,9620,무관,0년개월,무관,,    ,경기도 파주시 시민회관길 40 (금촌동),"공사,공공",경기북부지사,2023.11.3,1588-1519
2020,2023.10.27,2023-10-27~2023-12-31,농업회사법인정성가득김치주식회사,기타 식품가공 종사원,상용직,시급,9620,무관,0년개월,무관,,    ,경기도 고양시 덕양구 내유길124번길 15-1 (내유동) 농업회사법인정성가득김치주식회사,개인,경기북부지사,2023.11.3,1588-1519
2021,2023.10.27,2023-10-27~2023-11-17,교남학교,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),계약직,시급,12030,무관,무관,무관,,    ,서울특별시 강서구 까치산로22길 38 (화곡동),"협회,단체",서울남부지사,2023.10.27,1588-1519
2022,2023.10.27,2023-10-27~2023-11-30,(주)삼양사,사무 보조원,계약직,월급,2100000,무관,무관,무관,,    ,서울특별시 종로구 종로33길 31 ,중소,서울지역본부,2023.10.27,1588-1519
2023,2023.10.27,2023-10-27~2023-12-29,게이트3,매장 정리원(매장 보조원),계약직,시급,9620,무관,0년개월,무관,,    ,경기도 부천시 까치로6번길 38 (작동),중소,서울지역본부,2023.10.27,1588-1519
2024,2023.10.27,2023-10-27~2023-11-30,좋은강안병원,의료 보조원(간호조무사 제외),시간제,시급,9620,무관,0년개월,무관,,    ,부산광역시 수영구 수영로 493 (남천동),개인,부산지역본부,2023.10.27,1588-1519
2025,2023.10.27,2023-10-27~2023-12-31,대구광역시,국가·지방행정 사무원,상용직,월급,2500000,무관,0년개월,무관,,    ,대구광역시 중구 공평로 88 대구시청 (동인동1가),"공사,공공",대구지역본부,2023.11.1,1588-1519
2026,2023.10.27,2023-10-27~2023-11-30,(재) 대구포교성베네딕도수녀회파티마병원,데스크 안내원,계약직,시급,9620,무관,무관,무관,,    ,대구광역시 동구 아양로 99 (신암동),대기업,대구지역본부,2023.10.27,1588-1519
2027,2023.10.27,2023-10-27~2023-11-06,부산지방국토관리청,주차 단속원 및 안전 순찰원,상용직,월급,2000000,무관,무관,무관,,건설기계정비기능사  자동차정비기능사  ,부산광역시 동구 초량중로 67 (초량동),"공사,공공",부산지역본부,2023.10.30,1588-1519
2028,2023.10.27,2023-10-27~2023-10-31,사단법인나너우리,기타 서비스 단순종사원,상용직,시급,9620,무관,무관,무관,,    ,경기도 의왕시 이미로 40 인덕원IT밸리 A동 213호,중소,경기서부지사,2023.10.27,1588-1519
2029,2023.10.27,2023-10-27~2023-10-31,(주)에프엔제이,기타 서비스 단순종사원,상용직,시급,9620,무관,무관,무관,,    ,경기도 시흥시 은계중앙로306번길 55 (대야동) 407호,중소,경기서부지사,2023.10.27,1588-1519
2030,2023.10.27,2023-10-27~2023-11-10,청윤하다,음료 조리사,상용직,시급,9620,무관,0년개월,무관,,    ,광주광역시 광산구 선운로20번길 8 1층(선암동),개인,전남지사,2023.10.30,1588-1519
2031,2023.10.27,2023-10-27~2023-11-10,(주)현대그린푸드,기타 서비스 단순종사원,상용직,시급,9620,무관,무관,무관,,    ,경기도 용인시 수지구 문인로 30 현대그린푸드 (동천동),중소,전남지사,2023.10.31,1588-1519
2032,2023.10.27,2023-10-27~2023-11-24,청자다방 나주영산포점,음료 조리사,상용직,시급,9620,무관,0년개월,무관,,    ,전라남도 나주시 이창1길 36 (이창동),중소,전남지사,2023.10.30,1588-1519
2033,2023.10.27,2023-10-27~2023-12-31,보성군,국가·지방행정 사무원,상용직,월급,2100000,무관,무관,무관,,    ,전라남도 보성군 보성읍 송재로 165 (보성리),"공사,공공",전남지사,2023.10.27,1588-1519
2034,2023.10.27,2023-10-27~2023-12-30,（주）트리스 （Tris Tube co．，Ltd）,환경 미화원,상용직,월급,1350000,무관,무관,무관,,    ,경기도 동두천시 승전로 21  (하봉암동),중소,경기북부지사,2023.10.27,1588-1519
2035,2023.10.27,2023-10-27~2023-11-30,(주)케이씨씨건설,건설·채굴 단순 종사원,계약직,일급,59500,무관,0년개월,무관,,    ,서울특별시 서초구 강남대로 587 .,대기업,경북지사,2023.10.27,1588-1519
2036,2023.10.27,2023-10-27~2023-12-26,행복채움주식회사,환경 미화원,상용직,시급,9620,무관,무관,무관,,    ,경상북도 구미시 임수로 53  (임수동),중소,경북지사,2023.11.3,1588-1519
2037,2023.10.27,2023-10-27~2023-12-26,대성사회복지재단,재활용품 및 폐기물 수거원,상용직,시급,9620,무관,0년개월,무관,,    ,"경상북도 안동시 임하면 진사리길 14 (고곡리), 대성사회복지재단",중소,경북지사,2023.10.27,1588-1519
2038,2023.10.27,2023-10-27~2023-11-30,SK네트웍스(주),사무 보조원,계약직,월급,1080000,무관,무관,무관,,    ,경기도 수원시 팔달구 매산로52번길 4 .,중소,서울지역본부,2023.10.27,1588-1519
2039,2023.10.27,2023-10-27~2024-01-24,서울특별시교육청,건물 청소원(클린마스터),계약직,시급,12030,무관,무관,무관,,    ,서울특별시 종로구 송월길 48 (신문로2가),"공사,공공",서울지역본부,2023.10.31,1588-1519
2040,2023.10.26,2023-10-26~2023-11-01,전라북도김제교육지원청,단체 급식 보조원,상용직,월급,1089000,무관,0년개월,무관,,    ,전라북도 김제시 요촌북로 70 (요촌동),"공사,공공",전북지사,2023.10.26,1588-1519
2041,2023.10.26,2023-10-26~2023-11-03,오송생명과학단지지원센터,환경 미화원,상용직,월급,1871990,무관,무관,무관,,    ,충청북도 청주시 흥덕구 오송읍 오송생명2로 187 (오송읍),"공사,공공",충북지사,2023.10.26,1588-1519
2042,2023.10.26,2023-10-26~2023-11-30,(주)금성에이브이,기타 기계 조작원,상용직,시급,9620,무관,0년개월,무관,,    ,충청북도 충주시 칠금12길 37-1 2층(칠금동),중소,충북지사,2023.10.30,1588-1519
2043,2023.10.26,2023-10-26~2023-11-05,디엘이앤씨 주식회사,산업 안전원 및 위험물 관리원,계약직,월급,3500000,무관,무관,무관,,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,충북지사,2023.10.26,1588-1519
2044,2023.10.26,2023-10-26~2023-12-31,주식회사 세차하는날,세차원 및 운송장비 청소원,상용직,시급,10000,무관,무관,무관,,    ,충청북도 청주시 흥덕구 직지대로240번길 58 (비하동) (),중소,충북지사,2023.10.26,1588-1519
2045,2023.10.26,2023-10-26~2023-11-03,(주)제인스,직업 운동선수,계약직,월급,1400000,무관,무관,무관,,    ,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234 PAC 4층,대기업,제주지사,2023.10.27,1588-1519
2046,2023.10.26,2023-10-26~2023-12-31,(재)제주4·3평화재단,일반상점 판매원,계약직,시급,11075,무관,0년개월,무관,,    ,제주특별자치도 제주시 명림로 430 (봉개동),중소,제주지사,2023.10.27,1588-1519
2047,2023.10.26,2023-10-26~2023-11-05,디엘이앤씨 주식회사,건축안전·환경·품질·에너지관리 기술자,계약직,월급,3500000,경력,0년6개월,무관,건축학,산업안전기사  건설안전기사  ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,제주지사,2023.10.26,1588-1519
2048,2023.10.26,2023-10-26~2023-11-18,두경산업,일반 음식점 서빙원 및 홀정리원,상용직,시급,9620,무관,0년개월,무관,,    ,경상남도 거제시 거제중앙로31길 6-1 보배빌딩3층301호 (고현동),중소,경남동부지사,2023.11.2,1588-1519
2049,2023.10.26,2023-10-26~2023-11-05,디엘이앤씨 주식회사,산업 안전원 및 위험물 관리원,계약직,월급,3500000,경력,0년개월,무관,,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,경남동부지사,2023.10.26,1588-1519
2050,2023.10.26,2023-10-26~2023-10-31,제주대학교병원,데스크 안내원,계약직,시급,9620,무관,0년개월,무관,,    ,제주특별자치도 제주시 아란13길 15 (아라일동),대기업,제주지사,2023.10.26,1588-1519
2051,2023.10.26,2023-10-26~2023-11-30,계린산업,항공기·선박·철도기관차·전동차 등 운송장비 조립·검사원,상용직,시급,9620,무관,무관,무관,,    ,경상남도 거제시 장평3로 80 삼성중공업내 계린산업 (장평동),중소,경남동부지사,2023.11.2,1588-1519
2052,2023.10.26,2023-10-26~2023-11-03,(주)인텍플러스,시스템 소프트웨어 개발자(프로그래머),상용직,연봉,33000000,무관,무관,대졸,,    ,대전광역시 유성구 테크노2로 263 (주)인텍플러스 (탑립동),중소,대전지역본부,2023.10.26,1588-1519
2053,2023.10.26,2023-10-26~2023-11-30,(주)광주신세계,상품 진열원,상용직,시급,9620,무관,무관,고졸,,    ,광주광역시 서구 무진대로 932 (광천동),중소,광주지역본부,2023.10.26,1588-1519
2054,2023.10.26,2023-10-26~2023-12-30,유니셈(주),반도체공학 기술자 및 연구원,상용직,연봉,35000000,무관,무관,무관,,    ,경기도 화성시 동탄면 장지남길 10-7 (장지리),중소,경기지역본부,2023.10.26,1588-1519
2055,2023.10.26,2023-10-26~2023-10-31,도원프라자상가번영회,주차 관리·안내원,계약직,월급,2040000,무관,0년개월,무관,,    ,대전광역시 유성구 노은로 174 도원프라자 (지족동),개인,대전지역본부,2023.10.26,1588-1519
2056,2023.10.26,2023-10-26~2023-11-18,(주)농협하나로유통 동탄유통센터,매장 정리원(매장 보조원),계약직,시급,9620,무관,0년개월,무관,,    ,경기도 화성시 동탄순환대로27길 30 (영천동),중소,경기지역본부,2023.10.26,1588-1519
2057,2023.10.26,2023-10-26~2023-11-15,춘천시청,공공행정 사무원,상용직,월급,2135800,신입,무관,무관,,    ,강원특별자치도 춘천시 시청길 11 (옥천동),"공사,공공",강원지사,2023.10.26,1588-1519
2058,2023.10.26,2023-10-26~2023-11-24,하성기업,항공기·선박·철도기관차·전동차 등 운송장비 조립·검사원,상용직,시급,9620,무관,무관,무관,,    ,경상남도 거제시 장평3로 80 삼성중공업 내 거제조선소 (장평동),중소,경남동부지사,2023.11.2,1588-1519
2059,2023.10.26,2023-10-26~2023-11-05,디엘이앤씨 주식회사,"기타 건설 기능원(건물해체,정화조설치,방음벽설치 등)",계약직,월급,3500000,무관,무관,무관,,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,전북지사,2023.10.26,1588-1519
2060,2023.10.26,2023-10-26~2023-12-31,태림에이엔씨,시스템 소프트웨어 개발자(프로그래머),계약직,시급,9620,무관,무관,무관,,    ,"대구광역시 서구 국채보상로83길 17 (비산동) 연구교류동505호, 404-7 (우편물반송, 주소불명)",개인,대구지역본부,2023.10.26,1588-1519
2061,2023.10.26,2023-10-26~2023-11-05,디엘이앤씨 주식회사,"기타 건설 기능원(건물해체,정화조설치,방음벽설치 등)",계약직,월급,3500000,무관,무관,무관,,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,대구지역본부,2023.10.26,1588-1519
2062,2023.10.26,2023-10-26~2023-11-30,삼우정밀,사무 보조원,시간제,시급,9620,무관,0년개월,무관,,    ,인천광역시 서구 봉수대로 297-6 (석남동),중소,인천지사,2023.10.26,1588-1519
2063,2023.10.26,2023-10-26~2023-11-30,한국알프스(주),기타 서비스 단순종사원,계약직,월급,1200000,무관,무관,무관,,    ,광주광역시 광산구 하남산단5번로 33 (장덕동),대기업,광주지역본부,2023.11.2,1588-1519
2064,2023.10.26,2023-10-26~2023-11-05,디엘이앤씨 주식회사,건축안전·환경·품질·에너지관리 기술자,계약직,월급,3500000,무관,무관,무관,,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,울산지사,2023.10.26,1588-1519
2065,2023.10.26,2023-10-26~2023-11-24,은평대영학교,단체 급식 보조원,계약직,월급,1300000,무관,무관,고졸,,    ,서울특별시 은평구 갈현로11길 30 (구산동),개인,서울지역본부,2023.10.26,1588-1519
2066,2023.10.26,2023-10-26~2023-11-20,연세대학교재활학교,단체 급식 보조원,시간제,시급,9620,무관,0년개월,무관,,    ,"서울특별시 서대문구 연세로 50 재활학교(신촌동, 연세대학교내)",중소,서울지역본부,2023.10.26,1588-1519
2067,2023.10.26,2023-10-26~2023-11-30,연세대학교의료원,의료 보조원(간호조무사 제외),계약직,시급,9620,무관,0년개월,무관,,    ,서울특별시 서대문구 연세로 50-1 (신촌동),개인,서울지역본부,2023.11.2,1588-1519
2068,2023.10.26,2023-10-26~2023-11-17,(사)에스디워크 서울지사,기타 서비스 단순종사원,계약직,월급,759980,무관,무관,무관,,    ,서울특별시 강서구 화곡로 416 더스카이밸리 5차 지식산업센터 B110호 (등촌동),중소,서울남부지사,2023.10.26,1588-1519
2069,2023.10.26,2023-10-26~2023-11-03,디엘이앤씨 주식회사,사무 보조원,계약직,시급,9620,무관,무관,무관,,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,서울지역본부,2023.10.26,1588-1519
2070,2023.10.26,2023-10-26~2023-11-05,디엘이앤씨 주식회사,건축안전·환경·품질·에너지관리 기술자,계약직,월급,3500000,경력,0년6개월,무관,,건축기사  토목기사  ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,부산지역본부,2023.10.26,1588-1519
2071,2023.10.26,2023-10-26~2023-11-01,신용보증기금,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,일급,39000,무관,0년개월,무관,,    ,대구광역시 동구 첨단로 7  (신서동),중소,대구지역본부,2023.10.27,1588-1519
2072,2023.10.26,2023-10-26~2023-11-10,에스엠티스카우트,생산·품질 사무원 및 관리원(전기·전자·컴퓨터),상용직,연봉,42000000,무관,0년개월,무관,,    ,경기도 군포시 당정로 38 (당정동),중소,경기서부지사,2023.10.26,1588-1519
2073,2023.10.26,2023-10-26~2023-11-30,(주)케이씨씨건설,건설·채굴 단순 종사원,계약직,일급,119000,무관,0년개월,무관,,    ,서울특별시 서초구 강남대로 587 .,대기업,전남지사,2023.10.26,1588-1519
2074,2023.10.26,2023-10-26~2023-12-22,아진산업(주),건물 경비원,계약직,월급,2530060,무관,무관,무관,,    ,경상북도 경산시 진량읍 공단8로26길 40 아진산업(주) 본사,중소,경북지사,2023.10.26,1588-1519
2075,2023.10.26,2023-10-26~2023-12-31,농업회사법인주식회사 다온,주방 보조원(일반 음식점),상용직,시급,9620,무관,0년개월,무관,,    ,충청남도 논산시 중앙로480번길 23-1 (화지동),중소,충남지사,2023.10.26,1588-1519
2076,2023.10.26,2023-10-26~2023-12-25,(주)대건솔루션,세탁원,상용직,시급,9620,신입,무관,무관,,    ,전라남도 여수시 화양면 영터길 35-13 (주)대건솔루션,중소,전남지사,2023.10.26,1588-1519
2077,2023.10.26,2023-10-26~2023-12-31,주식회사자연애나누미,식품 분야 단순 종사원,상용직,시급,9620,무관,무관,무관,,    ,전라남도 순천시 별량면 온수길 65 자연애나누미,중소,전남지사,2023.11.1,1588-1519
2078,2023.10.26,2023-10-26~2023-12-31,크리스찬디올꾸띄르코리아,사무 보조원,계약직,월급,2400000,무관,무관,무관,,    ,서울특별시 중구 을지로5길 19 페럼타워 26층 (수하동),중소,서울지역본부,2023.10.26,1588-1519
2079,2023.10.26,2023-10-26~2023-11-24,대명중학교,기타 건물 관리원,계약직,시급,12030,무관,0년개월,무관,,    ,서울특별시 강남구 역삼로87길 26 (대치동),"공사,공공",서울동부지사,2023.10.26,1588-1519
2080,2023.10.26,2023-10-26~2023-11-24,수서중학교,환경 미화원,계약직,시급,12030,무관,0년개월,무관,,    ,서울특별시 강남구 광평로59길 57 (수서동),"공사,공공",서울동부지사,2023.10.26,1588-1519
2081,2023.10.26,2023-10-26~2023-12-29,에스케이쉴더스 주식회사,건물 청소원(클린마스터),계약직,월급,1061800,무관,무관,무관,,    ,경기도 성남시 분당구 판교로227번길 23 (삼평동),대기업,서울동부지사,2023.10.31,1588-1519
2082,2023.10.26,2023-10-26~2023-11-02,(주)엔에스쇼핑,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송),상용직,연봉,25000000,무관,무관,무관,,    ,경기도 성남시 분당구 판교로228번길 15 판교7벤처벨리 농수산홈쇼핑동 (삼평동),대기업,경기동부지사,2023.10.26,1588-1519
2083,2023.10.26,2023-10-26~2023-11-10,다림건설(주),산업 안전원 및 위험물 관리원,계약직,시급,9620,무관,무관,무관,,    ,경기도 성남시 분당구 장미로 86 (야탑동) 6층,중소,경기동부지사,2023.10.26,1588-1519
2084,2023.10.26,2023-10-26~2023-11-10,(주)예일로지스,환경 미화원,상용직,월급,1005290,무관,무관,무관,,    ,경기도 광주시 초월읍 산수로 653 (주)예일로지스,중소,경기동부지사,2023.10.26,1588-1519
2085,2023.10.26,2023-10-26~2023-11-30,네이처재활요양병원,요양병원 간호조무사,상용직,월급,2100000,무관,0년개월,무관,,    ,서울특별시 강남구 헌릉로569길 21-40 네이처요양병원 (세곡동),중소,서울동부지사,2023.10.26,1588-1519
2086,2023.10.26,2023-10-26~2023-11-01,굿윌스토어밀알공릉점,매장 정리원(매장 보조원),계약직,시급,9620,무관,0년개월,무관,,    ,"서울특별시 노원구 동일로180길 14 1층, 011호 (공릉동, 공릉쇼핑센타)","협회,단체",서울북부지사,2023.11.2,1588-1519
2087,2023.10.26,2023-10-26~2023-11-17,세준푸드 농업회사법인(주),음료 제조기계 조작원,상용직,월급,2010580,무관,무관,무관,,    ,경기도 광주시 곤지암읍 가마을길 63 세준푸드 농업회사법인(주),중소,경기동부지사,2023.10.26,1588-1519
2088,2023.10.26,2023-10-26~2023-12-31,(주)성덕산업,기타 기계 조작원,상용직,월급,2010580,무관,0년개월,무관,,    ,경기도 용인시 처인구 이동읍 화산로 175-9 성덕산업,중소,경기동부지사,2023.10.26,1588-1519
2089,2023.10.26,2023-11-01~2023-11-30,새솔다이아몬드공업(주),"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,경기도 안산시 단원구 신원로91번길 61 새솔다이아몬드공업(주) (성곡동),중소,경기서부지사,2023.10.26,1588-1519
2090,2023.10.25,2023-10-25~2023-10-27,경희학교,환경 미화원,계약직,시급,9620,무관,무관,무관,,    ,경상북도 경주시 초당길15번길 15 (동천동),"공사,공공",경북지사,2023.10.25,1588-1519
2091,2023.10.25,2023-10-25~2023-12-31,(주)디에이치엘코리아,물류 사무원(물류 관리사),계약직,월급,2600000,무관,무관,무관,,    ,서울특별시 마포구 독막로 299 일양빌딩 (염리동),중소,서울지역본부,2023.10.25,1588-1519
2092,2023.10.25,2023-10-25~2023-12-30,현대E&T(주),생산·품질 사무원 및 관리원(그 외 분야),계약직,시급,9620,신입,무관,대졸,기계공학,    ,울산광역시 동구 문현6길 42 (방어동),대기업,울산지사,2023.10.25,1588-1519
2093,2023.10.25,2023-10-25~2023-12-31,(주)동부,사무 보조원,상용직,시급,9620,무관,무관,무관,,    ,울산광역시 남구 여천로163번길 15  (여천동),중소,울산지사,2023.10.25,1588-1519
2094,2023.10.25,2023-10-25~2024-01-02,부명엔지니어링(주),건물 청소원(클린마스터),시간제,시급,9620,무관,무관,무관,,    ,울산광역시 북구 명촌13길 46-1 부명엔지니어링(주) (명촌동),중소,울산지사,2023.10.25,1588-1519
2095,2023.10.25,2023-10-25~2023-10-31,(주)은광,기타 서비스 단순종사원,상용직,월급,1010000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 375 (석촌동),중소,서울동부지사,2023.10.25,1588-1519
2096,2023.10.25,2023-10-25~2023-11-10,한국원자력안전재단,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9620,무관,무관,무관,,    ,"경기도 성남시 분당구 대왕판교로644번길 49 (삼평동, 디티씨타워 7층)","공사,공공",경기동부지사,2023.10.25,1588-1519
2097,2023.10.25,2023-10-25~2023-11-02,롯데카드(주),전산자료 입력원(DB·단순자료),시간제,월급,1280000,무관,무관,무관,,    ,서울특별시 종로구 새문안로 76 . (신문로1가),대기업,경기동부지사,2023.10.31,1588-1519
2098,2023.10.25,2023-10-25~2023-11-15,강남대학교,사무 보조원,계약직,시급,9620,신입,무관,무관,,    ,경기도 용인시 기흥구 강남로 40 강남대학교 (구갈동),중소,경기동부지사,2023.10.27,1588-1519
2099,2023.10.25,2023-10-25~2023-10-29,콘센트릭스서비스코리아 유한회사,고객 상담원(백화점·마트),상용직,월급,2010580,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 509  (삼성동),중소,서울동부지사,2023.10.25,1588-1519
2100,2023.10.25,2023-10-25~2023-11-08,콘센트릭스서비스코리아 유한회사,고객 상담원(스포츠·예식·항공·여행·숙박·오락),상용직,월급,2010580,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 509  (삼성동),중소,서울동부지사,2023.10.25,1588-1519
2101,2023.10.25,2023-10-25~2023-12-28,(주)디비하이텍,환경 미화원,계약직,월급,1010100,무관,무관,무관,,    ,경기도 부천시 수도로 90 DB하이텍 부천공장,중소,경기서부지사,2023.10.25,1588-1519
2102,2023.10.25,2023-10-25~2023-12-31,한국철도기술연구원,"사무 보조원(국가 및 자치단체, 공공기관)",상용직,월급,2010580,무관,무관,무관,,    ,경기도 의왕시 철도박물관로 176 한국철도기술연구원 (월암동),"공사,공공",경기서부지사,2023.10.25,1588-1519
2103,2023.10.25,2023-10-25~2023-10-31,삼성카드,사무 보조원,계약직,월급,1174000,무관,무관,무관,,    ,"서울특별시 중구 세종대로 67 (태평로2가,삼성본관빌딩) (태평로2가,삼성본관)",대기업,서울북부지사,2023.11.1,1588-1519
2104,2023.10.25,2023-10-25~2023-12-28,건일제약(주),의약품 생산기계 조작원,계약직,시급,11062,무관,무관,무관,,    ,충청남도 천안시 서북구 직산읍 거리막길 33 제일동,중소,충남지사,2023.11.1,1588-1519
2105,2023.10.25,2023-10-25~2023-11-09,새만금린넨,세탁원,시간제,시급,9620,무관,무관,무관,,    ,전라북도 군산시 요죽3길 40 (오식도동),개인,전북지사,2023.10.25,1588-1519
2106,2023.10.25,2023-10-25~2023-11-18,주식회사 에스씨텍(청주지점),기타 기계 조립·검사원,상용직,시급,9620,무관,0년개월,무관,,    ,충청북도 청주시 상당구 낭성면 단재로 1994 (주)에스씨텍(청주지점),중소,충북지사,2023.10.26,1588-1519
2107,2023.10.25,2023-10-25~2023-12-04,(주)금경라이팅,전기·전자 분야 단순 종사원,상용직,시급,9620,무관,무관,무관,,    ,경상남도 창녕군 대합면 대합산업단지로 68-47 금경라이팅,중소,경남동부지사,2023.10.30,1588-1519
2108,2023.10.25,2023-10-25~2024-01-24,하성기업,자동조립라인 조작원,상용직,월급,2418200,무관,0년개월,무관,,    ,경상남도 창원시 성산구 성산패총로 170 (가음정동),중소,경남동부지사,2023.10.31,1588-1519
2109,2023.10.25,2023-10-25~2023-11-06,경남대학교,사무 보조원,계약직,월급,800000,무관,무관,무관,,    ,경상남도 창원시 마산합포구 경남대학로 7 경남대학교 (월영동) 경남대학교,대기업,경남동부지사,2023.10.25,1588-1519
2110,2023.10.25,2023-10-25~2023-11-30,(주)동성모터스,건물 청소원(클린마스터),계약직,시급,9620,무관,무관,무관,,    ,"부산광역시 해운대구 해운대해변로 299 MINI Bldg,",대기업,경남동부지사,2023.10.25,1588-1519
2111,2023.10.25,2023-10-25~2023-11-03,클린서비스,섬유·의복 분야 단순 종사원,상용직,시급,9620,무관,무관,무관,,    ,대전광역시 대덕구 신탄진로839번길 37 (신탄진동),중소,대전지역본부,2023.10.25,1588-1519
2112,2023.10.25,2023-10-25~2023-11-01,국립아시아문화전당,기타 건물 관리원,계약직,월급,2150580,무관,무관,무관,,    ,광주광역시 동구 문화전당로 38 (광산동),"공사,공공",광주지역본부,2023.10.25,1588-1519
2113,2023.10.25,2023-10-25~2023-12-31,(유)휴먼스탭스,식품 분야 단순 종사원,상용직,시급,9970,무관,0년개월,무관,,    ,광주광역시 광산구 신창로138번길 31-20 (신창동) 204호,중소,광주지역본부,2023.10.25,1588-1519
2114,2023.10.25,2023-10-25~2023-11-03,(주)비아트론,환경 미화원,상용직,월급,2066666,무관,무관,무관,,    ,경기도 수원시 권선구 산업로155번길 139 비아트론,중소,경기지역본부,2023.10.25,1588-1519
2115,2023.10.25,2023-10-25~2023-11-30,주식회사 나눔씨엘,주방 보조원(일반 음식점),상용직,시급,9620,무관,0년개월,무관,,    ,세종특별자치시  장군면 평기길 114 ,중소,대전지역본부,2023.10.25,1588-1519
2116,2023.10.25,2023-10-25~2023-11-30,(주)클라우망,기타 기계 조작원,상용직,시급,9620,무관,0년개월,무관,,    ,대전광역시 대덕구 문평서로 52 (문평동) (주)클라우망,중소,대전지역본부,2023.10.25,1588-1519
2117,2023.10.25,2023-10-25~2023-11-03,(주)태능초가집갈비,식품 분야 단순 종사원,상용직,시급,9620,무관,0년개월,무관,,    ,충청남도 논산시 중앙로398번길 7-7 태능초가집갈비  (취암동),개인,대전지역본부,2023.10.25,1588-1519
2118,2023.10.25,2023-10-25~2023-11-03,행복디딤 주식회사,세차원 및 운송장비 청소원,계약직,연봉,14000000,무관,무관,무관,,    ,"서울특별시 종로구 종로 26 지하3층(서린동, SK빌딩 내)",중소,대전지역본부,2023.10.25,1588-1519
2119,2023.10.25,2023-10-25~2023-11-03,엠에스인더스트리,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,0년개월,무관,,    ,충청남도 금산군 복수면 복수공단길 8-78 엠에스인더스트리,중소,대전지역본부,2023.10.25,1588-1519
2120,2023.10.25,2023-10-25~2023-12-31,(주)면사랑,식품 분야 단순 종사원,상용직,시급,9620,무관,무관,고졸,,    ,충청북도 진천군 이월면 궁동길 51-24 주식회사 면사랑,중소,충북지사,2023.10.27,1588-1519
